 LISTA_DE_INGREDIENTES ; TIPO DE INGREDIENTE ; UNID ;P.U.; OBSERVACIONES ; PROVEEDOR 
 Torta pompadour ; Dulces/Tortas ;c/u; 16.000 ;; Carmelita Ossa 
 Torta saint honoré ; Dulces/Tortas ;c/u; 39.000 ;; El Esfuerzo 
 Torta tres leches ; Dulces/Tortas ;c/u; 16.807 ;; Amarena 
 Tortilla de rescoldo ; Abarrotes ;un; 4.000 ;; El Esfuerzo 
 TORTILLA ESPAÑOLA ; Abarrotes ;c/u; 5.534 ; 25 PORCIONES ; Cencosud Retail 
 Transporte ; Comidas opcionales (carros) ;c/u; 30.000 ;;
 Trapero ; Abarrotes ;c/u; 950 ;; Chile Distribución 
 Trilogía de chocolate ; Dulces/Tortas ;c/u; 13.361 ;; Amarena 
 Triple sec ; Tragos ;botella; 6.183 ;; CAMBIAR 
 TRONCO DE CASTAÑA ; Dulces/Tortas ;c/u; 23.000 ;; El Esfuerzo 
 Trufa de Naranja y praline de Almendras ; Dulces/Tortas ;c/u; 480 ;; Daniel Gelferstein 
 Trufa de Praline de nuez ; Dulces/Tortas ;c/u; 480 ;; Daniel Gelferstein 
 Truto de ala ; Carnes ;kg; 2.646 ;; Pallet Steak 
 Truto de pato ; Carnes ;kg; 8.980 ; sin rabadilla ; Comercial Chau 
 Truto de pollo corto ; Carnes ;kg; 3.598 ;; Comercial Chau 
 Truto de pollo entero  ; Carnes ;kg; 3.198 ;; Pallet Steak 
 Truto de pollo largo ; Carnes ;kg; 1.098 ;; Comercial Chau 
 Tubo de filete  ; Carnes ;kg; 10.250 ; 6,5 cm. De diámetro ; Comercial Chau 
 Tubo de filete dúo ; Carnes ;kg; 9.000 ; 5 cm. De diámetro ; Comercial Chau 
 Tubo de filete trío ; Carnes ;kg; 9.000 ; 5 cm. De diámetro ; Comercial Chau 
 Tuna ; Frutas/Verduras ;kg; 4.590 ;; Fruton 
 Turbot entero calibre 1-2 ; Mariscos/Pescados ;kg; 5.950 ; pesa entre 1.5 kg -2 kg ; Seafood 
 Turbot entero sin viseras ; Mariscos/Pescados ;kg; 5.480 ; pesa entre 0,5kg-1 kg ; Seafood 
 Turbot entero sin viseras ; Mariscos/Pescados ;kg; 5.690 ; pesa entre 1kg -1,5 kg ; Seafood 
 Turbot filete ; Mariscos/Pescados ;kg; 10.800 ; pesa entre 260grs-400grs ; Seafood 
 Turrón de doña pepa ; Dulces/Tortas ;c/u; 8.000 ;; Señor de los milagros 
 Turrón español dulce ; Dulces/Tortas ;c/u; 1.600 ;; A y R 
 Tuto de pavo deshuesado ; Carnes ;kg; 2.298 ;; Comercial Chau 
 Uva blanca ; Frutas/Verduras ;kg; 2.980 ;; Fruton 
 Uva negra ; Frutas/Verduras ;kg; 1.490 ;; Fruton 
 Uva rosada ; Frutas/Verduras ;kg; 3.500 ;; Fruton 
 Vaina de vainilla ; Abarrotes ;c/u; 5.960 ;; Fruton 
 Vainilla líquida  ; Abarrotes ;lt; 1.750 ;; Chile Distribución 
 Vaso de Chocolate/crema Mazapan ; Dulces/Tortas ;c/u; 1.490 ;; Daniel Gelferstein 
 Vaso plumavit-120 cc ; Abarrotes ;c/u; 10 ;; cambiar 
 Vaso plumavit-180 cc ; Abarrotes ;c/u; 11 ;; cambiar 
 Vasos desechables transparentes ; Abarrotes ;c/u; 41 ;; Delicias y mas SpA 
 Velas corrientes ; Abarrotes ;pqte; 450 ; 4 unid * pqte ; Cencosud Retail 
 Velas de cumpleaños ; Abarrotes ;pqte; 460 ; unid * pqte ; cambiar 
 Verduras surtidas ; Frutas/Verduras ;atado; 800 ;; Comercial Valencia 
 vermicelli ; Abarrotes ;kg; 2.000 ;; Delicias y mas SpA 
 Vermouth seco ; Tragos ;botella; 1.672 ; bot 750 cc ; German García 
 Viadil ; Abarrotes ;;;; Salcobrand 
 Vienesa ; Carnes ;c/u; 109 ;; Comercial Chau 
 Vienesas ; Carnes ;kg; 2.398 ;; Comercial Chau 
 Vinagre balsámico ; Abarrotes ;botella; 2.000 ; 500 cc marco polo ; A Y R 
 Vinagre blanco ; Abarrotes ;botella; 416 ; 500cc  ; Delicias y mas SpA 
 Vinagre de arroz ; Abarrotes ;botella; 2.990 ; Bot. 700 ml. ; Centro Abasto 
 Vinagre de jerez ; Abarrotes ;botella; 2.990 ; 250cc ; Delicias y mas SpA 
 Vinagre de manzana ; Abarrotes ;botella; 1.290 ; 500 cc   ; Centro Abasto 
 Vinagre de sherry ; Abarrotes ;botella; 2.503 ; 250cc ; Delicias y mas SpA 
 Vinagre de sushi ; Abarrotes ;botella; 2.990 ; 300cc ; Delicias y mas SpA 
 Vinagre densa di balsamico tartufo  ; Abarrotes ;botella; 10.780 ; 250 CC ; Gourmet Italia 
 Vinagre rosado ; Abarrotes ;botella; 765 ; 500cc  ; MIGUEL FARIAS 
 Vino 35 Sur Sauvignon blanc ; Vinos ; botella ; 1.246 ;; Vinos 
 Vino blanco en caja 1,5 lt ; Vinos ; caja ; 1.235 ;; German García 
 Vino blanco en caja 2 lt ; Vinos ;caja; 1.303 ; 2000cc ; CCU 
 Vino Caliterra ; Vinos ;botella; 2.217 ; 750 cc ; Peumo 
 Vino Casillero del Diablo Chardonnay ; Vinos ;botella;;; Concha y toro 
 Vino Castillo de Molina C.Sauvignon ; Vinos ;botella; 3.746 ;; CCU 
 Vino Castillo de Molina Sauvignon Blanc ; Vinos ; botella ; 3.746 ;; CCU 
 Vino Chino ; Vinos ;botella; 3.362 ; 500cc  ; Delicias y mas SpA 
 Vino Concha y Toro Trío Chardonnay ; Vinos ;botella;;; Vinos 
 Vino Cousiño Macul Don Luis Sauvignon Blanc ; Vinos ;botella; 1.663 ;; Cousiño Macul 
 Vino Cremaschi Furlotti Reserva carmenere ; Vinos ;botella; 2.361 ;; VITIVINICOLA CREMASCHI BARRIGA S.A. 
 Vino Cremaschi Furlotti Reserva chardonay ; Vinos ;botella; 2.510 ;; VITIVINICOLA CREMASCHI BARRIGA S.A. 
 Vino Cremaschi Furlotti Reserva sauvignon ; Vinos ;botella; 2.361 ;; VITIVINICOLA CREMASCHI BARRIGA S.A. 
 Vino Cremaschi Furlotti Reserva shyrah ; Vinos ;botella; 2.510 ;; VITIVINICOLA CREMASCHI BARRIGA S.A. 
 Vino Cremaschi Furlotti sauvignon blanc varietal ; Vinos ;botella; 1.500 ;; VITIVINICOLA CREMASCHI BARRIGA S.A. 
 Vino CUVEE ALEXANDER CARMENERE ; Vinos ;botella; 12.500 ;; PREMIUN BRANDS 
 Vino Gran Tarapacá Reserva Sauvignon Blanc ; Vinos ;botella; 4.622 ;; Tarapaca 
 Vino La Rosa Reserva Chardonnay ; Vinos ;botella;;; Vinos 
 Vino Late Harvest undurraga ; Vinos ;botella; 4.500 ;; Vinos 
 Vino León de Tarapacá Chardonnay ; Vinos ;botella;;; Vinos 
 Vino Marqués de Casa Concha C.SAUVIGNON ; Vinos ;botella; 7.500 ;; Concha y toro 
 Vino MONTES ALPHA C.SAUVIGNON ; Vinos ;botella; 7.500 ;; MONTES 
 Vino MontGrass Cabernet reserva ; Vinos ;botella; 4.123 ;; Vinos 
 Vino MontGrass Chardonnay ; Vinos ;botella; 1.515 ;; Vinos 
 Vino MontGrass Chardonnay reserva ; Vinos ;botella; 2.536 ;; Vinos 
 Vino Pipeño ; Vinos ;botella; 2.536 ;; Vinos 
 Vino Santa Rita Medalla Real Sauvignon Blanc ; Vinos ;botella; 2.477 ;; Vinos 
 Vino Tinto en botella ; Vinos ; botella ; 1.260 ;; German García 
 Vino Tinto en caja ; Vinos ; lt ; 954 ;; German García 
 Vino tinto en caja 1.5 lt ; Vinos ; lt ; 1.235 ;; German García 
 Vino tinto en caja 2 lt ; Vinos ;lt; 1.992 ;; CCU 
 Vino Valdivieso Sauvignon Blanc ; Vinos ;botella; 1.852 ;; Viña Valdivieso 
 Vino Viña Tarapacá Chardonnay ; Vinos ;botella;;; Vinos 
 Virutilla antiadherente ; Abarrotes ;c/u; 851 ;; Comercial San Joaquin 
 Virutilla de olla fina ; Abarrotes ;c/u; 174 ;; Chile Distribución 
 Virutilla de olla gruesa ; Abarrotes ;c/u; 140 ;; Chile Distribución 
 Virutilla parrillera ; Abarrotes ;c/u; 100 ;; Chile Distribución 
 Vodka Absolut 1 lt ; Tragos ;botella; 6.406 ; 1 litro ; CCU 
 Vodka Absolut 750 cc ; Tragos ;botella; 6.764 ; 750 cc ; CCU 
 Vodka Absolut apeach ; Tragos ;botella; 7.100 ;; CCU 
 Vodka Absolut citron ; Tragos ;botella; 8.306 ;; CCU 
 Vodka Absolut currant ; Tragos ;botella; 6.422 ;; CCU 
 Vodka Absolut mandarin ; Tragos ;botella; 8.561 ; 750 ml. ; CCU 
 Vodka Absolut mango ; Tragos ;botella; 6.422 ;; CCU 
 Vodka Absolut pear ; Tragos ;botella; 8.499 ;; CCU 
 Vodka Absolut peppar ; Tragos ;botella; 6.421 ;; CCU 
 Vodka Absolut raspberry ; Tragos ;botella; 8.618 ; 750 ml. ; CCU 
 Vodka Absolut vainilla ; Tragos ;botella; 6.421 ;; CCU 
 Vodka Pl ; Tragos ;botella; 2.355 ;; German García 
 Vodka skyy ; Tragos ;botella; 5.536 ;; CCU 
 Vodka skyy citrus ; Tragos ;botella; 5.425 ;; CCU 
 Vodka skyy grape ; Tragos ;botella; 4.626 ;; CCU 
 Vodka skyy passion fruit ; Tragos ;botella; 4.626 ;; CCU 
 Vodka skyy pineapple ; Tragos ;botella; 4.626 ;; CCU 
 Vodka skyy raspberrie ; Tragos ;botella; 5.425 ;; CCU 
 Vodka Stolishnaya ; Tragos ;botella; 4.849 ;; Escocia 
 Vol au vent ; Abarrotes ;bandeja; 4.360 ; 50 unidades ; cambiar 
 Vol au vent ; Abarrotes ;c/u; 30 ;; cambiar 
 Volcan de lucúma ; Dulces/Tortas ;c/u; 24.285 ; 30 pax ; la tarleta 
 Wasabi ; Abarrotes ;sobre; 6.169 ;; Delicias y mas SpA 
 Whisky 100 pipper´s  ; Tragos ;botella; -   ; 750 cc ; German García 
 Whisky Ballantines ; Tragos ;botella; 7.049 ;  750 cc ; CCU 
 Whisky Chivas Reagal ; Tragos ;botella; 20.230 ; 12 años 750 cc ; German García 
 Whisky GLENLIVET ; Tragos ;botella; 16.205 ; 12 años ; Comercial peumo 
 Whisky jack daniels ; Tragos ;botella; 11.945 ;; German García 
 Whisky JWalker Etiqueta Negra ; Tragos ;botella; 25.210 ; 750 ml. ; Comercial peumo 
 Whisky JWalker Etiqueta roja ; Tragos ;botella; 9.084 ; 750 ml. ; Comercial peumo 
 Yemas ; Lácteos ;lt; 3.796 ;; Premiun s.a. 
 Yoghurt ; Lácteos ;lt; 3.015 ; COLUN X 1 LITRO ; Delicias y mas SpA 
 Yoghurt sabores ; Lácteos ;c/u; 120 ;; cambiar 
 Yuca ; Frutas/Verduras ;kg; 1.980 ;; Comercial Valencia 
 Zanahorias ; Frutas/Verduras ;pqte; 790 ; 8 unid x pqte ; Comercial Valencia 
 Zapallitos rellenos ; Frutas/Verduras ;c/u; 450 ;; Nezar Lama 
 Zapallo baby ; Frutas/Verduras ; kg ; 275 ;; Agromarket 
 Zapallo Camote ; Frutas/Verduras ;kg;990;; Comercial Valencia 
 Zapallo italiano c/u ; Frutas/Verduras ;c/u; 590 ;; Comercial Valencia 
 Zatar ; Abarrotes ; kg ;;; Nezar Lama 
 Zeste de limón ; Frutas/Verduras ;;;; Bodega 
 Zeste de limón de pica  ; Frutas/Verduras ;; 120 ;; Bodega 
 Zeste de naranja ; Frutas/Verduras ;;;; Bodega 
 Zuccini ; Frutas/Verduras ; kg ; 3.590 ; 80 gr, c/u $400 ; Comercial Valencia 
 Gin boolton ; Tragos ; botella ; 6.000 ;; Distribuidora La Martina 
 Agua Tónica Premiun Fentimans ; Bebidas ; botellín ; 1.150 ;; DESA 
 Máquina de café nespresso ; Abarrotes ; máquina ; -   ; Máquina residente en casona ; Nespresso Profesional 
 Cápsulas de café nespresso ; Abarrotes ; capsulas ; 490 ; cápsulas planas italianas ; Nespresso Profesional 
 PAN DE CHURRASCO ; Abarrotes ;kg; 2.410 ; 30 unidades por kl ; Rosas Chicas 
 churrasco interfoliado ; Carnes ;kg; 6.500 ;; Delicias y mas SpA 
 Carrito de milanesas 200 porc ; Comidas Opcionales (carros) ;un; 330.000 ;; Carritos y Carnes 
Barquillos simples sin relleno 40 un;Dulces/Tortas;un;800;;La Barquilleria Esquina
 espinaca baby ; Frutas/Verduras ;kg; 2.500 ;; Comercial Johnson 
 Sandwichs J/T/Q/S/L ; colacion persona ;un; 1.500 ;; El Esfuerzo 
 Sandwichs vegetariano ; colacion persona ;un; 1.500 ;; El Esfuerzo 
 queso pecorino ; quesos ;kg; 16.450 ;; granarolo 
